,title,artist,date,medium,dimension,image_path
1297,Tikpo,Atta Kwami,2010,Acrylic on canvas,182 × 162.5 cm (72 × 64 in.),Dataset\Atta Kwami\tikpo
1298,Untitled,David Novros,1969,Oil on canvas; fifteen panels,"274.3 × 274.3 cm (108 × 108 in.), installed",Dataset\David Novros\untitled
1299,Summer Fog,Judy Ledgerwood,1992,Oil on canvas,228.6 × 304.8 cm ( 90 × 120 in.),Dataset\Judy Ledgerwood\summer-fog
1300,River Landscape with a View of Naarden,Salomon van Ruysdael,1642,Oil on panel,59.7 × 85.1 cm (23 1/2 × 33 1/2 in.),Dataset\Salomon van Ruysdael\river-landscape-with-a-view-of-naarden
1301,Untitled (#09-16),Rebecca Morris,2016,Oil and spray paint on canvas,177.8 x 175.3 cm (70 x 69 in.),Dataset\Rebecca Morris\untitled-09-16
1302,Baby in a Shooting Gallery,Stanley Dean Edwards,1966,Oil and acrylic on canvas,111. 7 × 86.3 cm (44 × 34 in.),Dataset\Stanley Dean Edwards\baby-in-a-shooting-gallery
1303,Taos,Ed Clark,1982,Oil on canvas,134.6 × 99 cm (53 × 39 in.),Dataset\Ed Clark\taos
1304,#80 After-image: Metronome,Jacqueline Gourevitch,1973,Oil on canvas,137.2 × 127 cm (54 × 50 in.),Dataset\Jacqueline Gourevitch\80-after-image-metronome
1305,Heavenly Dragon,Guo Fengyi,1990,Ink on cloth,"152 × 55 cm (59 7/8 × 21 5/8 in.) 
width with knobs 63 cm (24 3/4 in.)",Dataset\Guo Fengyi\heavenly-dragon
1306,Yes Master,Carol Jackson,2016,"Leather, acrylic, papier-mâché, epoxy, enamel and wood",143.3 × 139.7 × 127 cm; 127 × 28 cm (58 × 55 × 5 in.; 50 × 11 in.),Dataset\Carol Jackson\yes-master
1307,Untitled,Robert Mangold,1966,Oil and black pencil on hardboard,35.5 × 35.5 cm (14 × 14 in.),Dataset\Robert Mangold\untitled
1308,"A Bar at ... #5 (feat. a Bar, AM-painting, Pain Bottle, Man, Bruised Grid, Infiniti, Balls, Spectator)",Jutta Koether,2013,"Acrylic, pastel, pencil and metallic paint on canvas; mirrored aluminum composite sheet and wooden shelf","Painting: 121.9 × 183.5 cm (48 × 72 1/4 × 2 1/3 in.)
Shelf: 5 3/4 × 6 × 118 in.",Dataset\Jutta Koether\a-bar-at-5-feat-a-bar-am-painting-pain-bottle-man-bruised-grid-infiniti-balls-spectator
1309,Untitled,Ryuji  Tanaka,1963,Mineral pigments and oil on canvas,162 × 130 cm (63.8 × 51.2 in.),Dataset\Ryuji  Tanaka\untitled
1310,Nude under a Pine Tree,Pablo Picasso,"January 20, 1959",Oil on canvas,76 3/8 × 110 1/8 in. (194 × 279.5 cm),Dataset\Pablo Picasso\nude-under-a-pine-tree
1311,Virgin and Child with the Young Saint John the Baptist,Antonio da Correggio,c. 1515,Oil on panel,25 1/4 × 19 3/4 in. (64.2 × 50.2 cm),Dataset\Antonio da Correggio\virgin-and-child-with-the-young-saint-john-the-baptist
1312,Capella,Victor de Vasarely,1964,Oil on canvas,200 × 100 cm (79 × 40 1/2 in.),Dataset\Victor de Vasarely\capella
1313,Triptych of Calligraphy,Katsuzan Dowa,late 17th–early 18th century,Set of three hanging scrolls; ink on paper,140.9 × 37.5 cm (55 1/2 × 14 3/4 in.),Dataset\Katsuzan Dowa\triptych-of-calligraphy
1314,Monk Selling Ceremonial Tea Whisks,Katsushika Hokusai,c. 1802,Ink and light color on paper,48.9 × 35.5 cm,Dataset\Katsushika Hokusai\monk-selling-ceremonial-tea-whisks
1315,Yellow House 2,Alex Katz,2001,Oil on linen,304.8 × 304.8 cm (120 × 120 in.),Dataset\Alex Katz\yellow-house-2
1316,Untitled,Chang Tang,1969,Oil on canvas,98 × 103 cm (38.5 × 40.5 in.),Dataset\Chang Tang\untitled
1317,Untitled,Chang Tang,1965,Oil on canvas,212.5 × 240 cm (83 11/16 × 94 1/2 in.),Dataset\Chang Tang\untitled
1318,Iron woman,David Smith,1964,Enamel on canvas,51 × 31  1/8 in. (129.5 × 79.3 cm),Dataset\David Smith\iron-woman
1319,Fragment II,Kimiyo Mishima,1965,Mixed media on canvas,193.5 × 130.5 cm (76.2 × 51.4 in.),Dataset\Kimiyo Mishima\fragment-ii
1320,Syrian Goats,John Singer Sargent,1905,Oil on canvas,55.9 × 71.2 cm (22 × 28 in.),Dataset\John Singer Sargent\syrian-goats
1321,"Three Boats in Harbor, San Vigilio",John Singer Sargent,1913,Oil on canvas,55.9 × 71.1 cm (22 × 28 in.),Dataset\John Singer Sargent\three-boats-in-harbor-san-vigilio
1322,Sterrendoek,Jef Geys,1965,Oil and pastel on window shade and canvas,170 × 140 cm (67 × 55 in.),Dataset\Jef Geys\sterrendoek
1323,God of War,George Grosz,1940,Oil on canvas,119.5 × 90 cm (47 × 35 3/8 in.),Dataset\George Grosz\god-of-war
1324,"Painting 190 x 222 cm, 5 February, 2012 (Peinture 190 x 222 cm, 5 février 2012)",Pierre Soulages,2012,Oil on two joined canvases,137 × 222 cm (54 × 87 1/2 in.),Dataset\Pierre Soulages\painting-190-x-222-cm-5-february-2012-peinture-190-x-222-cm-5-fevrier-2012
1325,La Java,Georges Emile Capon,1925,Oil on canvas,73 × 62.2 cm (28 3/4 × 24 1/2 in.),Dataset\Georges Emile Capon\la-java
1326,Untitled,Nathan Hylden,2013,Acrylic on aluminum,196.8 × 144.8 cm (77 1/2 × 57 in.),Dataset\Nathan Hylden\untitled
1327,Querena,William Penhallow Henderson,1917,Oil on canvas,59.6 × 43.9 cm (23 1/2 × 17 1/4 in.),Dataset\William Penhallow Henderson\querena
1328,Portrait of a Lady,André Lhote,1927,Oil on canvas,92.1 × 73 cm (36 1/4 × 28 3/4 in.),Dataset\André Lhote\portrait-of-a-lady
1329,Étude No. 1,Georges Vantongerloo,1917,Oil on pressboard,55 × 55 cm (21 5/8 × 21 5/8 in.),Dataset\Georges Vantongerloo\etude-no-1
1330,Crucifixion,María Josefa Sánchez,1646,Oil on panel,63 × 39 cm (24 13/16 × 15 3/8 in.),Dataset\María Josefa Sánchez\crucifixion
1331,Black Pride Whitewashed,Norman Parish,1971,Oil on canvas,81.3 × 101.6 cm (32 × 40 in.),Dataset\Norman Parish\black-pride-whitewashed
1332,Ode To Falling Blossoms,Wang Dongling,2017,"Acrylic on plexi glass board, framed",220 × 120 cm (85 5/8 × 47 1/4 in.),Dataset\Wang Dongling\ode-to-falling-blossoms
1333,Autumn Evening in the Mountains,Wang Dongling,2017,"Acrylic on plexi glass board, framed",220 × 120 cm (85 5/8 × 47 1/4 in.),Dataset\Wang Dongling\autumn-evening-in-the-mountains
1334,Drinking Wine,Wang Dongling,2017,"Acrylic on plexi glass board, framed",220 × 120 cm (85 5/8 × 47 1/4 in.),Dataset\Wang Dongling\drinking-wine
1335,Night Moor at Maple Bridge,Wang Dongling,2017,"Acrylic on plexi glass board, framed",220 × 120 cm (85 5/8 × 47 1/4 in.),Dataset\Wang Dongling\night-moor-at-maple-bridge
1336,Crows Going Back to Their Nest - Satire on the King of Wu,Wang Dongling,2017,"Acrylic on plexi glass board, framed",220 × 120 cm (85 5/8 × 47 1/4 in.),Dataset\Wang Dongling\crows-going-back-to-their-nest-satire-on-the-king-of-wu
1337,A Horrible Daily Mail News with Summer Dress,Evelyn Taocheng Wang,2017,"Watercolor, brush and black ink, and opaque gold paint over traces of graphite on cream, laid Chinese paper",96 × 152 cm (37.8 × 59.8 in.),Dataset\Evelyn Taocheng Wang\a-horrible-daily-mail-news-with-summer-dress
1338,Skirt Spring and Trapped inside a Carpet,Evelyn Taocheng Wang,2017,"Watercolor and acrylic paint on cream, laid Chinese paper",49 × 148 cm (19.2 × 58.2 in.),Dataset\Evelyn Taocheng Wang\skirt-spring-and-trapped-inside-a-carpet
1339,Save my baby first,Evelyn Taocheng Wang,2017,Watercolor with pen and black ink over graphite on cream laid Chinese paper,94 × 176 cm (37 × 69.2 in.),Dataset\Evelyn Taocheng Wang\save-my-baby-first
1340,Yellow Rose Dress Walking in Graveyard,Evelyn Taocheng Wang,2017,"Brush and black ink and watercolor on cream, laid Chinese paper",94 × 87 cm (37 × 34.2 in.),Dataset\Evelyn Taocheng Wang\yellow-rose-dress-walking-in-graveyard
1341,Virginia Woolf on Riverside,Evelyn Taocheng Wang,2017,"Brush and black ink and watercolor on cream, laid Chinese paper",98 × 180 cm (38.5 × 70.8 in.),Dataset\Evelyn Taocheng Wang\virginia-woolf-on-riverside
1342,Blue and Green Music,Georgia O'Keeffe,1919/21,Oil on canvas,58.4 × 48.3 cm (23 × 19 in.),Dataset\Georgia O'Keeffe\blue-and-green-music
1343,Portrait of a Gentleman,Jacopo Palma Il Giovane,c. 1590,Oil on canvas,42 1/2 × 32 in. (108 × 81.3 cm),Dataset\Jacopo Palma Il Giovane\portrait-of-a-gentleman
1344,Portrait of the Princess di Ottaiano and her son Carlo,Marquis Filippo Petrone,1814,Silk embroidery and paint on a silk ground; original frame and glass,99.1 × 81 cm (39 × 31 7/8 in.),Dataset\Marquis Filippo Petrone\portrait-of-the-princess-di-ottaiano-and-her-son-carlo
1345,"Portraits of Serafina, Gaetanino and Ciccillo di Ottaiano",Marquis Filippo Petrone,1815,Silk embroidery and paint on a silk ground; original frame and glass,71.1 × 94.6 cm (28 × 37 1/4 in.),Dataset\Marquis Filippo Petrone\portraits-of-serafina-gaetanino-and-ciccillo-di-ottaiano
1346,i\Ω..,Jacqueline Humphries,2017,Oil on linen,289.6 × 322.6 cm (114 × 127 in.),Dataset\Jacqueline Humphries\i-o
1347,Composition in Blue,Fernand Léger,1921/27,Oil on canvas,130.5 × 97.2 cm (51 3/8 × 38 1/4 in.),Dataset\Fernand Léger\composition-in-blue
1348,A Boy Blowing on a Firebrand,Gerrit van Honthorst,1621/22,Oil on canvas,75.5 × 64.5 cm (30 × 25 3/8 in.),Dataset\Gerrit van Honthorst\a-boy-blowing-on-a-firebrand
1349,Becalmed,Catherine F. Murphy,2017,Oil on canvas,137.2 × 182.9 cm (54 × 72 in.),Dataset\Catherine F. Murphy\becalmed
1350,Frost,Julia Fish,1992,Oil on canvas,71.1 × 68.6 cm (28 × 27 in.),Dataset\Julia Fish\frost
1351,November 1978,Sylvia Plimack Mangold,1978,Oil on canvas,76.2 × 101.6 cm (30 × 40 in.),Dataset\Sylvia Plimack Mangold\november-1978
1352,Shipwreck near a Rocky Coast,Thomas Birch,1833,Oil on canvas,51.4 × 76.8 cm (20 1/4 × 30 1/4 in.),Dataset\Thomas Birch\shipwreck-near-a-rocky-coast
1353,Goose,Wang Fangyu,Undated,Ink on paper,91.4 × 57.2 cm (36 × 22 1/2 in.),Dataset\Wang Fangyu\goose
1354,Beauty Replacing Her Hairpin,Chôbunsai Eishi,"Edo period, 1798",Hanging scroll; ink and color on silk,93.2 × 30.6 cm,Dataset\Chôbunsai Eishi\beauty-replacing-her-hairpin
1355,"Moon, Pine and Maple",Katsushika Hokusai,n.d.,"Hanging scroll, ink, colors and gold on silk","92.0 × 31.2 cm
mount: 180.5 × 47.2 cm
image: 92.0 × 31.2 cm",Dataset\Katsushika Hokusai\moon-pine-and-maple
1356,Courtesan and Two Attendants,Torii Kiyonobu I,1700/10,Hanging scroll; Ink and colors on silk,Painting: 32 13/16 x13 1/16 in.; with mounting: 67 1/2 x 18 5/16 in.,Dataset\Torii Kiyonobu I\courtesan-and-two-attendants
1357,Courtesan and Cherry Branch,Toriyama Sekien,1786,"Hanging scroll; ink, colors, and gold on silk",88.1 × 26.3 cm,Dataset\Toriyama Sekien\courtesan-and-cherry-branch
1358,Untitled (Rack),Vivian Suter,n.d.,Nineteen acrylic on canvas paintings,Dimensions vary with installation,Dataset\Vivian Suter\untitled-rack
1359,Black Light Series #7: Ego Painting,Faith Ringgold,1969,Oil on canvas,76 × 76 cm (30 × 30 in.),Dataset\Faith Ringgold\black-light-series-7-ego-painting
1360,Graces,Jennifer Packer,2017,Oil on canvas,152.4 × 182.9 cm (60 × 72 in.),Dataset\Jennifer Packer\graces
1361,A Courtesan Reading a Letter,Chôbunsai Eishi,1820/25,Hanging scroll; ink and color on silk,87.5 × 31.1 cm,Dataset\Chôbunsai Eishi\a-courtesan-reading-a-letter
1362,17 March 1960,Pierre Soulages,1960,Oil on canvas,130.2 × 162.6 cm (51 1/4 × 64 in.),Dataset\Pierre Soulages\17-march-1960
1363,Landscape,Rufino Tamayo,1930,Oil on canvas,69.8 × 80 cm (27 1/2 × 31 1/2 in.),Dataset\Rufino Tamayo\landscape
1364,Lincoln,Robert Rauschenberg,1958,"Printed paper and stamped metal, with oil paint, fiber-tipped pen, and silkscreen ink on fabric",43.2 × 53 cm (17 × 20 7/8 in.),Dataset\Robert Rauschenberg\lincoln
1365,Prelude to a Synthesis,Victor Brauner,1959,Oil on masonite with cork and metal sculpture,200 × 140.3 × 15.2 cm (78 3/4 × 55 1/4 × 6 in.),Dataset\Victor Brauner\prelude-to-a-synthesis
1366,"The Oude Kerk, Delft",Cornelis de Man,1660/70,Oil on canvas,25 1/2 × 30 1/2 in. (64.1 × 77.4 cm),Dataset\Cornelis de Man\the-oude-kerk-delft
1367,The Adoration of the Magi,Pietro della Vecchia,c. 1650,Oil on canvas,18 1/2 × 58 in. (47 × 147.3 cm),Dataset\Pietro della Vecchia\the-adoration-of-the-magi
1368,The Diligence,Nicolas Toussaint Charlet,c. 1820/23,Oil on canvas,12 3/4 × 16 in. (32.5 × 40.7 cm),Dataset\Nicolas Toussaint Charlet\the-diligence
1369,Francesco de' Medici,Alessandro Allori,c. 1560,Oil on panel (poplar),97.9 × 76.4 cm (38 1/2 × 30 1/8 in.),Dataset\Alessandro Allori\francesco-de-medici
1370,A Love Supreme,Julie Mehretu,2014–2018,Ink and acrylic on canvas,228.6 × 457.2 cm (90 × 180 in.),Dataset\Julie Mehretu\a-love-supreme
1371,Untitled,Evelyn Statsinger,c. 1960,Oil on linen,40.5 × 20.4 cm (16 × 10 in.),Dataset\Evelyn Statsinger\untitled
1372,Untitled,Evelyn Statsinger,1969,Oil on Linen,61.6 × 45.7 cm (24 1/4 × 18 in.),Dataset\Evelyn Statsinger\untitled
1373,Sound Raga (Fall),Evelyn Statsinger,1977,Oil on Linen,101.6 × 81.3 cm (40 × 32 in.),Dataset\Evelyn Statsinger\sound-raga-fall
1374,Yellow Hickory Leaves with Daisy,Georgia O'Keeffe,1928,Oil on canvas,76.5 × 101.6 cm (29 7/8 × 39 7/8 in.),Dataset\Georgia O'Keeffe\yellow-hickory-leaves-with-daisy
1375,Green Hills of Earth (1),Carroll Dunham,2017,"Urethane, acrylic and pencil on linen",172.7 × 200.7 cm (68 x79 in.),Dataset\Carroll Dunham\green-hills-of-earth-1
1376,Green Hills of Earth (2),Carroll Dunham,2017,"Urethane, acrylic and pencil on linen",172.7 × 200.7 cm (68 x79 in.),Dataset\Carroll Dunham\green-hills-of-earth-2
1377,Green Hills of Earth (3),Carroll Dunham,2017,"Urethane, acrylic and pencil on linen",172.7 × 200.7 cm (68 x79 in.),Dataset\Carroll Dunham\green-hills-of-earth-3
1378,Night (Noc),Erna Rosenstein,1993,Oil on metal and hardboard,38 × 49 × 2 cm (15 × 19 1/4 × 1/2 in.),Dataset\Erna Rosenstein\night-noc
1379,Transition,Jon Schueler,1955,Oil on canvas,137.16 × 152.4 cm (54 × 60 in.),Dataset\Jon Schueler\transition
1380,Brushstroke with Spatter,Roy Lichtenstein,1966,Oil and magna on canvas,172.7 × 203.2 cm (68 × 80 in.),Dataset\Roy Lichtenstein\brushstroke-with-spatter
1381,Le mal de mer (Seasickness),René Magritte,1947-48,Oil on canvas,54 x 65 cm (21 1/4 x 25 1/2 in.),Dataset\René Magritte\le-mal-de-mer-seasickness
1382,Thank You,Tschabalala  Self,2018,"Acrylic, watercolor, flashe, crayon, colored pencil, oil pastel, pencil, hand-colored canvas, thank you bag, on canvas",243.8 × 213.4 cm (96 × 84 in.),Dataset\Tschabalala  Self\thank-you
1383,Atlanta,Ralph Humphrey,1958,Oil on canvas,167.6 × 243.8 cm. (66 × 96 in.),Dataset\Ralph Humphrey\atlanta
1384,Magic Bubbles,Margo Hoff,c. 1947,Oil on hardboard,40.6 ✕ 61 cm (16 ✕ 24 in.),Dataset\Margo Hoff\magic-bubbles
1385,Woman before the Mirror,Ellen Emmet Rand,1925,Oil on board,70.8 ✕ 54.6 cm (27 7/8 ✕ 21 1/2 in.),Dataset\Ellen Emmet Rand\woman-before-the-mirror
1386,Courtesan and Kamuro,Teisai Hokuba,1805/10,Hanging scroll; ink and color on silk,89.9 × 29.8 cm (35⅜ × 11¾ in.),Dataset\Teisai Hokuba\courtesan-and-kamuro
1387,The Hell Courtesan and Priest Ikkyu,Saito Kyobun,1909,Hanging scroll: ink and color on silk,56¾ × 28 in. (144.1 × 71.1 cm),Dataset\Saito Kyobun\the-hell-courtesan-and-priest-ikkyu
1388,Beauty Reading a Love Letter by Moonlight,Toyohara Kunichika,c. 1870,Hanging scroll: ink and light color on paper,102.9 × 28.6 cm (40½ × 11¼ in.),Dataset\Toyohara Kunichika\beauty-reading-a-love-letter-by-moonlight
1389,Beauty Turning Her Head,Hishikawa Moronobu,c. 1685-94,Hanging scroll; ink and colors on paper,"70.6 × 26.5cm (27 × 10 in.); with mounting: 151.1 x 38.1 cm (59 1/2 x 15 in.);width  including lower roller: 43.2 cm (17 in.)

dims from catalog recheck",Dataset\Hishikawa Moronobu\beauty-turning-her-head
1390,Oxidation,Andy Warhol,1978,Oxidation on metallic pigment in acrylic on canvas,35.6 × 25.4 cm (14 x 10 in.) each; 110 × 108.5 cm (43 3/8 x 42 3/4 in.) overall,Dataset\Andy Warhol\oxidation
1391,Leaves and Shell,Gertrude Abercrombie,1953,Oil on hardboard,32.4 ✕ 44.5 cm (12 3/4 ✕ 17 1/2 in.),Dataset\Gertrude Abercrombie\leaves-and-shell
1392,Arapaho II,Ludwig Sander,1965,Oil on canvas,198.1 × 182.9 cm (78 × 72 in.),Dataset\Ludwig Sander\arapaho-ii
1393,Plum,Kenneth Noland,1959,Acrylic on canvas,168.9 × 168.9 cm (66 1/2 × 66 1/2 in.),Dataset\Kenneth Noland\plum
1394,Staircase in the Park of Villa Chigi di Ariccia,Alexandre Calame,1844/1845,"Oil on paper, laid on canvas",39.4 x 33 cm (15 1/2 x 13 in.),Dataset\Alexandre Calame\staircase-in-the-park-of-villa-chigi-di-ariccia
1395,"Landscape near Chiusi, Tuscany",Alexandre Desgoffe,1841,Oil sketch on canvas,18.4 x 33.7 cm (7 1/4 x 13 1/4 in.),Dataset\Alexandre Desgoffe\landscape-near-chiusi-tuscany
1396,A Farmhouse in the Bavarian Alps,Johann Georg von Dillis,About 1825,"Oil on paper, laid onto cardboard",21.6 x 27.9 cm (8 1/2 x 11 in.),Dataset\Johann Georg von Dillis\a-farmhouse-in-the-bavarian-alps
1397,"The Sand Pits, Hampstead Heath",John Linnell,1834,Oil on panel,24.1 x 38.1 cm (9 1/2 x 15 in.),Dataset\John Linnell\the-sand-pits-hampstead-heath
1398,Sur la route de Nice,Paul Huet,About 1844,Oil on canvas,71.1 x 102.9 cm (28 x 40 1/2 in.),Dataset\Paul Huet\sur-la-route-de-nice
1399,Venice Seen from the Public Garden,Jean Jules Antoine Lecomte du Noüy,1873,"Oil on paper, mounted on canvas","5 1/2 in.v., 12 13/16 in.h.",Dataset\Jean Jules Antoine Lecomte du Noüy\venice-seen-from-the-public-garden
1400,Appenine Landscape,François Le Moyne,About 1730,Oil on canvas,76 × 72 cm,Dataset\François Le Moyne\appenine-landscape
1401,Venice from the Riva looking toward the Piazzale San Marco,Félix Ziem,About 1890,Oil on panel,"5 1/2 in.v., 9 1/4 in.h.",Dataset\Félix Ziem\venice-from-the-riva-looking-toward-the-piazzale-san-marco
1402,In Her Face,Penny Siopis,2012/18,"Glue, ink and oil on canvas",21 × 15.5 cm (8.2 × 6 in.),Dataset\Penny Siopis\in-her-face
1403,Undercurrent,Penny Siopis,2012/18,"Glue, ink and oil on canvas",25.5 × 20.5 cm (10 × 8 in.),Dataset\Penny Siopis\undercurrent
1404,Like an Island,Penny Siopis,2012/18,"Glue, ink and oil on canvas",23 × 30.5 cm (9 × 12 in.),Dataset\Penny Siopis\like-an-island
1405,Hot Spring,Penny Siopis,2012/18,"Glue, ink and oil on canvas",30.5 × 30.5 cm (12 × 12 in.),Dataset\Penny Siopis\hot-spring
1406,Warm Looks,Penny Siopis,2012/18,"Glue, ink and oil on canvas",16 × 15 cm (6.2 × 6 in.),Dataset\Penny Siopis\warm-looks
1407,Eye on the World,Penny Siopis,2012/18,"Glue, ink and oil on canvas",30.5 × 20 cm (12 × 7.8 in.),Dataset\Penny Siopis\eye-on-the-world
1408,On the Verge,Penny Siopis,2012/18,"Glue, ink and oil on canvas",25.5 × 20.5 cm (10 × 8 in.),Dataset\Penny Siopis\on-the-verge
1409,Tiny Spy,Penny Siopis,2012/18,"Glue, ink and oil on canvas",14 × 18 cm (5.5 × 7 in.),Dataset\Penny Siopis\tiny-spy
1410,Forming,Penny Siopis,2019,"Glue, ink and oil on canvas",26 × 26 cm (10.2 × 10.2 in.),Dataset\Penny Siopis\forming
1411,In Her Element,Penny Siopis,2019,"Glue, ink and oil on canvas",30.5 × 25.5 cm (12 × 10 in.),Dataset\Penny Siopis\in-her-element
1412,Undercover,Penny Siopis,2012/18,"Glue, ink and oil on canvas",20.5 × 25.5 cm (8 × 10 in.),Dataset\Penny Siopis\undercover
1413,"Untitled (Paris, rue des Grands-Augustins)",Bram van Velde,1961,Oil on canvas,130 × 162 cm (51.2 × 63.8 in.),Dataset\Bram van Velde\untitled-paris-rue-des-grands-augustins
1414,Melancholia,Domenico Fetti,c. 1615,Oil on canvas,149.5 × 113 cm (58 7/8 × 44 1/2 in.),Dataset\Domenico Fetti\melancholia
1415,STOP,Vern  Blosum,1964,Oil on canvas,169.55 × 121.29 (66 3/4 × 47 3/4 in.),Dataset\Vern  Blosum\stop
1416,We Knew So Little Then/ I Know Even Less Now...,Christina Quarles,2019,Acrylic on canvas,152.4 × 182.9 × 5.1 cm (60 × 72  × 2in.),Dataset\Christina Quarles\we-knew-so-little-then-i-know-even-less-now
1417,Theophilia Gwatkin,Sir Joshua Reynolds,no date,Oil on canvas,29 × 24 inches,Dataset\Sir Joshua Reynolds\theophilia-gwatkin
1418,White Cap,Felrath Hines,1965,Oil on linen,81.28 × 104.14 cm (32 × 41 in.),Dataset\Felrath Hines\white-cap
1419,Warm Offering,Penny Siopis,2012-2018,"Glue, ink and oil on canvas",20.5 × 20.5 cm (10 × 8 in.),Dataset\Penny Siopis\warm-offering
1420,In Viscous Guise,Penny Siopis,2019,"Glue, ink and oil on canvas",28.5 × 20.5 cm (11.2 × 8 in),Dataset\Penny Siopis\in-viscous-guise
1421,Untitled (candles),Rodney McMillian,2006-2010,Oil on wood,62.23 × 51.44 cm (24 1/2 × 20 1/4 in.),Dataset\Rodney McMillian\untitled-candles
1422,Tree Peonies in Full Bloom,"Longyu, Empress Dowager of China","Qing dynasty (1644–1911), dated 1911",Hanging scroll; ink and colors on silk,131 x 52.1 cm (51 9/16 × 20 1/2 in.); including mount and knobs: 284.8 x 83.2 cm (112 1/8 x 32 3/4 in.),"Dataset\Longyu, Empress Dowager of China\tree-peonies-in-full-bloom"
1423,Untitled,Christo Coetzee,1956,"Oil, ping pong and tennis balls, string and other material on canvas",129.5 × 195.5 cm (51 × 76 15/16 in.),Dataset\Christo Coetzee\untitled
1424,Torso-scape,Dominick Generoso Di Meo,1965,Synthetic polymer and collage on canvas,127 × 148 cm (50 1/4 × 58 1/2 in.),Dataset\Dominick Generoso Di Meo\torso-scape
1425,The Milliners,Theresa F. Bernstein,1921,Oil on canvas,102.2 × 127.6 cm (40 1/4 × 50 1/4 in.),Dataset\Theresa F. Bernstein\the-milliners
1426,Untitled,Heimo Zobernig,2006,"Acrylic binder, tape, acrylic on canvas",100 × 100 cm ( 39.3 × 39.3 in),Dataset\Heimo Zobernig\untitled
1427,Commemorative Ground Cover,Dominick Di Meo,1973,"Polyform, polymer and acrylic on canvas",91.4 × 76.2 × 7.62 cm (36 × 30 × 3 in.),Dataset\Dominick Di Meo\commemorative-ground-cover
1428,Composition,Ernest Mancoba,1951,Oil on linen,61.5 × 51.5 cm (24 1/4 × 20 in),Dataset\Ernest Mancoba\composition
1429,Final Judgment (Juízo final),Malangatana Valente Ngwenya,1961,Oil on hardboard,121.5 x 149 cm (48 x 58 5/8 in.),Dataset\Malangatana Valente Ngwenya\final-judgment-juizo-final
1430,Wake,Lee Mullican,1949,oil on canvas,127 × 101.6 cm (50 × 40 in.),Dataset\Lee Mullican\wake
1431,"Not buried, but just under the surface",Caroline Kent,2016,acrylic on unstretched canvas,274.3 × 182.8 cm (108 × 72in.),Dataset\Caroline Kent\not-buried-but-just-under-the-surface
1432,Mr. Quick as Vellum in Addison's Drummer,Samuel De Wilde,1792,Oil on canvas,14 1/2 × 11 in. (36.8 × 27.9 cm ),Dataset\Samuel De Wilde\mr-quick-as-vellum-in-addison-s-drummer
1433,De la nada vida a la nada muerte,Frank Stella,1965,Metallic powder in polymer emulsion on canvas,205.7 × 744.2 cm (81 × 293 in.),Dataset\Frank Stella\de-la-nada-vida-a-la-nada-muerte
1434,"Venus, Cupid and Ceres",Cornelis Cornelisz.,1604,Oil on canvas,96.7 × 109.2 cm (38 × 43 in.),Dataset\Cornelis Cornelisz.\venus-cupid-and-ceres
1435,At the River's Bend (On the River II),Lilla Cabot Perry,1895,Oil on canvas,64.8 × 81.3 cm (25 1/2 × 32 in.),Dataset\Lilla Cabot Perry\at-the-river-s-bend-on-the-river-ii
1436,Untitled,Albert Oehlen,2019,Lacquer and oil on Dibond,260 × 260 cm (102 3/8 × 102 3/8 in.),Dataset\Albert Oehlen\untitled
1437,Luna Park,Alex Katz,1960,Oil on board,101.6 x 76. 2 cm (40 x 30 in.),Dataset\Alex Katz\luna-park
1438,Untitled (Subjective),Matt Mullican,1985,Lead paint on wove paper,127 × 96.7 cm (50 × 38 ⅛ in.),Dataset\Matt Mullican\untitled-subjective
1439,Multitudes,Norman Lewis,1946,Oil on canvas,99.7 × 67.3 cm (39 1/4 × 26 1/2 in.),Dataset\Norman Lewis\multitudes
1440,Peau de soleil,Alice Rahon,1944,"Oil, sand, pebbles and string on canvas",71 x 91.4 cm  (28 x 36 in.),Dataset\Alice Rahon\peau-de-soleil
1441,Self-Portrait and Autobiography,Alice Rahon,1948,Oil and sand on canvas,73.6 x 55.9 cm (28 x 22 in.),Dataset\Alice Rahon\self-portrait-and-autobiography
1442,Untitled,Elisabeth Wild,2019,Collage of photomechanically cut photo papers,19.1 × 18.7 cm (7 1/2 × 7 3/8 in.),Dataset\Elisabeth Wild\untitled
1443,Mountain,Anne Appleby,2019,Oil and wax on canvas mounted on wood,76.2 × 76.2 cm (30 × 30 in.),Dataset\Anne Appleby\mountain
1444,Scenes from the Life of Saint John the Baptist,Bartolomeo di Giovanni,1490/95,Tempera on panel (poplar),74 × 150.4 cm (29 3/16 × 59 3/16 in.),Dataset\Bartolomeo di Giovanni\scenes-from-the-life-of-saint-john-the-baptist
1445,Blacklash,Ed Clark,1964,Oil on canvas,92.1 × 122.2 cm (36.1/4 × 48.1/8 in.),Dataset\Ed Clark\blacklash
1446,The Adoration of the Magi,Raffaello Botticini,c. 1495,Tempera on panel (poplar),Diameter: 104.2 cm (41 in.),Dataset\Raffaello Botticini\the-adoration-of-the-magi
